iter	Passed	Remaining
1677	8818	1692
1678	8823	1686
1679	8828	1681
1680	8833	1676
1681	8838	1671
1682	8843	1665
1683	8848	1660
1684	8853	1655
1685	8858	1649
1686	8864	1644
1687	8869	1639
1688	8874	1634
1689	8879	1628
1690	8884	1623
1691	8890	1618
1692	8894	1612
1693	8899	1607
1694	8904	1602
1695	8909	1596
1696	8914	1591
1697	8919	1586
1698	8924	1581
1699	8929	1575
1700	8934	1570
1701	8939	1565
1702	8945	1560
1703	8950	1554
1704	8955	1549
1705	8960	1544
1706	8964	1538
1707	8969	1533
1708	8975	1528
1709	8980	1522
1710	8985	1517
1711	8990	1512
1712	8995	1507
1713	9000	1501
1714	9005	1496
1715	9010	1491
1716	9014	1485
1717	9020	1480
1718	9025	1475
1719	9029	1469
1720	9034	1464
1721	9040	1459
1722	9045	1454
1723	9050	1448
1724	9055	1443
1725	9060	1438
1726	9065	1433
1727	9070	1427
1728	9075	1422
1729	9079	1417
1730	9084	1411
1731	9089	1406
1732	9094	1401
1733	9099	1395
1734	9104	1390
1735	9109	1385
1736	9114	1380
1737	9119	1374
1738	9124	1369
1739	9130	1364
1740	9135	1358
1741	9140	1353
1742	9145	1348
1743	9150	1343
1744	9155	1337
1745	9160	1332
1746	9165	1327
1747	9170	1322
1748	9175	1316
1749	9180	1311
1750	9184	1306
1751	9190	1300
1752	9196	1295
1753	9200	1290
1754	9206	1285
1755	9211	1279
1756	9216	1274
1757	9221	1269
1758	9226	1264
1759	9231	1258
1760	9236	1253
1761	9240	1248
1762	9245	1242
1763	9250	1237
1764	9255	1232
1765	9260	1227
1766	9265	1221
1767	9270	1216
1768	9275	1211
1769	9280	1205
1770	9285	1200
1771	9290	1195
1772	9294	1190
1773	9299	1184
1774	9305	1179
1775	9310	1174
1776	9314	1168
1777	9319	1163
1778	9324	1158
1779	9329	1153
1780	9334	1147
1781	9339	1142
1782	9344	1137
1783	9349	1131
1784	9354	1126
1785	9358	1121
1786	9363	1116
1787	9368	1110
1788	9373	1105
1789	9378	1100
1790	9383	1095
1791	9388	1089
1792	9393	1084
1793	9398	1079
1794	9403	1073
1795	9408	1068
1796	9413	1063
1797	9418	1058
1798	9423	1052
1799	9428	1047
1800	9433	1042
1801	9438	1037
1802	9443	1031
1803	9448	1026
1804	9453	1021
1805	9459	1016
1806	9463	1010
1807	9468	1005
1808	9473	1000
1809	9478	995
1810	9483	989
1811	9488	984
1812	9493	979
1813	9498	973
1814	9503	968
1815	9508	963
1816	9513	958
1817	9519	952
1818	9523	947
1819	9529	942
1820	9534	937
1821	9540	932
1822	9544	926
1823	9550	921
1824	9555	916
1825	9560	911
1826	9565	905
1827	9570	900
1828	9576	895
1829	9581	890
1830	9586	884
1831	9591	879
1832	9596	874
1833	9601	869
1834	9606	863
1835	9611	858
1836	9616	853
1837	9620	847
1838	9625	842
1839	9631	837
1840	9636	832
1841	9641	827
1842	9646	821
1843	9651	816
1844	9656	811
1845	9661	806
1846	9666	800
1847	9671	795
1848	9676	790
1849	9681	784
1850	9685	779
1851	9691	774
1852	9696	769
1853	9701	763
1854	9706	758
1855	9711	753
1856	9716	748
1857	9721	743
1858	9727	737
1859	9732	732
1860	9737	727
1861	9742	722
1862	9747	716
1863	9752	711
1864	9756	706
1865	9761	701
1866	9766	695
1867	9771	690
1868	9776	685
1869	9781	679
1870	9786	674
1871	9791	669
1872	9796	664
1873	9802	659
1874	9807	653
1875	9812	648
1876	9817	643
1877	9822	638
1878	9827	632
1879	9832	627
1880	9837	622
1881	9842	617
1882	9847	611
1883	9852	606
1884	9857	601
1885	9862	596
1886	9867	590
1887	9872	585
1888	9877	580
1889	9882	575
1890	9887	569
1891	9892	564
1892	9897	559
1893	9902	554
1894	9907	548
1895	9912	543
1896	9917	538
1897	9922	533
1898	9927	527
1899	9931	522
1900	9937	517
1901	9942	512
1902	9946	507
1903	9951	501
1904	9957	496
1905	9962	491
1906	9966	486
1907	9972	480
1908	9977	475
1909	9982	470
1910	9987	465
1911	9992	459
1912	9997	454
1913	10002	449
1914	10007	444
1915	10012	438
1916	10017	433
1917	10022	428
1918	10027	423
1919	10032	418
1920	10037	412
1921	10042	407
1922	10047	402
1923	10052	397
1924	10057	391
1925	10062	386
1926	10067	381
1927	10072	376
1928	10077	370
1929	10082	365
1930	10087	360
1931	10092	355
1932	10097	349
1933	10102	344
1934	10107	339
1935	10112	334
1936	10117	329
1937	10122	323
1938	10127	318
1939	10132	313
1940	10137	308
1941	10142	302
1942	10147	297
1943	10153	292
1944	10158	287
1945	10163	282
1946	10168	276
1947	10173	271
1948	10178	266
1949	10183	261
1950	10188	255
1951	10193	250
1952	10198	245
1953	10203	240
1954	10208	234
1955	10214	229
1956	10219	224
1957	10224	219
1958	10229	214
1959	10234	208
1960	10239	203
1961	10244	198
1962	10249	193
1963	10254	187
1964	10259	182
1965	10264	177
1966	10269	172
1967	10274	167
1968	10279	161
1969	10284	156
1970	10289	151
1971	10294	146
1972	10299	140
1973	10304	135
1974	10310	130
1975	10316	125
1976	10321	120
1977	10326	114
1978	10331	109
1979	10336	104
1980	10341	99
1981	10347	93
1982	10352	88
1983	10357	83
1984	10362	78
1985	10368	73
1986	10373	67
1987	10378	62
1988	10383	57
1989	10388	52
1990	10393	46
1991	10398	41
1992	10403	36
1993	10409	31
1994	10414	26
1995	10419	20
1996	10424	15
1997	10429	10
1998	10434	5
1999	10439	0
